changed_comp,multiplier,b6,T100,T365,T10000,logT10000,M10000,NK10000,CTL10000,B10000,t_to_1e5,t_to_1e6,t_to_1e5_plot,t_to_1e6_plot,auc_0_365,auc_0_1000,final_state
Tumor,0.2,1.9050401384008434e-6,242.76952572090283,244.75862950235705,244.75863028215917,2.3905087778494742,512.2379271169228,226942.936540143,87.18540681004842,140402.52094111094,NaN,NaN,10000.0,10000.0,82502.45572576228,237924.1897136361,controlled
Tumor,0.2,2.0000000000000003e-6,209.51119014744918,210.9364311232097,210.93643203180298,2.3262056186757403,510.5468194374281,227192.05868256537,75.59042174424751,140736.6803946582,NaN,NaN,10000.0,10000.0,71247.04115575238,205191.67698605388,controlled
Tumor,0.5,3.000000000000001e-7,5912.032660413137,9.746109256421262e6,9.746112134521263e6,6.988831448437962,487331.1356422071,716.684461991691,15.762164507662293,205.11613055961064,185.0,200.0,185.0,200.0,1.4885703705347724e9,7.677351545121183e9,tumor_dominant
Tumor,0.5,3.14953993832204e-7,5637.90155282558,9.745800720615167e6,9.745805328747915e6,6.988817776715724,487315.825211048,716.7069312196356,15.762657377408845,205.12257232180124,190.0,205.0,190.0,205.0,1.4403986395420995e9,7.628984973924895e9,tumor_dominant
Tumor,0.5,3.306533941028525e-7,5368.935011943242,9.745475409522245e6,9.745483219120957e6,6.988803422567832,487299.7510755285,716.7305227582143,15.763175060294616,205.12933568611064,195.0,210.0,195.0,210.0,1.3864034219231846e9,7.57478518238691e9,tumor_dominant
Tumor,0.5,3.471353568228903e-7,5105.504569645311,9.745130881761596e6,9.74514504170845e6,6.988788351881845,487282.87511324126,716.7552927857935,15.763718523768375,205.13643697145315,200.0,215.0,200.0,215.0,1.3254883389380584e9,7.513655288692623e9,tumor_dominant
Tumor,0.5,3.644388901057883e-7,4847.955630727886,9.744762148415454e6,9.744789994387778e6,6.98877252883512,487265.1572959435,716.7813003051231,15.764289029026223,205.14389312018614,210.0,225.0,210.0,225.0,1.2562514690323465e9,7.444192817066235e9,tumor_dominant
Tumor,0.5,3.8260494648864557e-7,4596.605715675376,9.744356775310664e6,9.744417234930536e6,6.98875591580855,487246.5555939878,716.8086072865882,15.764888256943594,205.15172164076728,215.0,230.0,215.0,230.0,1.176867442872482e9,7.364571739111405e9,tumor_dominant
Tumor,0.5,4.0167651985518443e-7,4351.743147959465,9.74387746962611e6,9.744025878990913e6,6.988738473295916,487227.0258759288,716.837278818865,15.765516741428046,205.15994190978304,225.0,240.0,225.0,240.0,1.084906951786261e9,7.272361794331097e9,tumor_dominant
Tumor,0.5,4.2169874719003627e-7,4113.625998916931,9.743189604949066e6,9.743614997992255e6,6.988720159808585,487206.5218030639,716.8673832673619,15.766177284780783,205.16857248034975,240.0,250.0,240.0,250.0,9.770563235820444e8,7.164247287670905e9,tumor_dominant
Tumor,0.5,4.427190154051293e-7,3882.4813430472145,9.741693601506038e6,9.743183616907159e6,6.988700931775355,487184.9947186423,716.898992440871,15.766871229559344,205.1776341391955,250.0,265.0,250.0,265.0,8.48659844980277e8,7.035565469112541e9,tumor_dominant
Tumor,0.5,4.6478707349102155e-7,3658.504890520572,9.735916564443713e6,9.742730711925171e6,6.9886807434371505,487162.3935314769,716.932181766863,15.767599512880476,205.18714907134108,265.0,280.0,265.0,280.0,6.929513178229129e8,6.879512259211003e9,tumor_dominant
Tumor,0.5,4.879551502585967e-7,3441.860934255979,9.697288858493753e6,9.742255208002442e6,6.98865954673632,487138.6645936645,716.9670304759019,15.768363900831854,205.19713997212114,285.0,300.0,285.0,300.0,4.998431149807871e8,6.68569258656698e9,tumor_dominant
Tumor,0.5,5.122780779497939e-7,3232.6825350239315,9.246996098078286e6,9.74175597628742e6,6.988637291200254,487113.7515721168,717.0036217956714,15.769166868095517,205.20763018930316,310.0,325.0,310.0,325.0,2.5661191191232166e8,6.437257293694091e9,tumor_dominant
Tumor,0.5,5.378134220099089e-7,3031.0721367963356,2.700762324570906e6,9.74123183141617e6,6.988613923819004,487087.59531358216,717.0420431551161,15.770009852873853,205.21864516536397,345.0,360.0,345.0,360.0,2.070272982375879e7,6.104651448002175e9,tumor_dominant
Tumor,0.5,5.646216173286177e-7,2837.102276730374,19334.402414078813,9.74068152867039e6,6.9885893889166075,487060.1337028221,717.0823863992861,15.770894844249058,205.23021125325315,395.0,410.0,395.0,410.0,1.8102874990950432e6,5.629920627102566e9,tumor_dominant
Tumor,0.5,5.927661112721535e-7,2650.8166873485334,7040.172733698887,9.740103760991286e6,6.988563628015757,487031.30151358974,717.1247480154317,15.77182411773317,205.24235599089002,470.0,485.0,470.0,485.0,1.3286586135204316e6,4.878254744660128e9,tumor_dominant
Tumor,0.5,6.223135138451644e-7,2472.2315037558733,4683.980735015994,9.739497155841742e6,6.988536579695486,487001.0302520396,717.1692293709996,15.772800427054024,205.255108024824,620.0,635.0,620.0,635.0,1.1110674537362927e6,3.4249578722438083e9,tumor_dominant
Tumor,0.5,6.533337553376234e-7,2301.3366868469698,3658.869419767671,9.738860271909118e6,6.988508179441483,486969.24799217394,717.2159369641599,15.773824753299033,205.26849898112206,1145.0,1160.0,1145.0,1160.0,966613.5720008871,3.869089548813445e6,tumor_dominant
Tumor,0.5,6.859002518299215e-7,2138.0976013561394,3049.9804691721115,3203.1232736422776,3.5057092165360184,660.1561094364841,207081.8336368176,849.8083190923064,116258.1608191703,NaN,NaN,10000.0,10000.0,856622.5322268542,2.866456590012515e6,intermediate
Tumor,0.5,7.200900789478258e-7,1982.4566263093075,2625.8858274134645,2665.1546609924076,3.425885338801525,633.2576950812235,210430.70197300805,741.8656863650253,120011.04843312966,NaN,NaN,10000.0,10000.0,766918.5220099158,2.4554485528823542e6,intermediate
Tumor,0.5,7.559841542785492e-7,1834.3349537188174,2301.9390749939325,2315.2640286395463,3.3647880626744096,615.763160780377,212667.53097007683,665.415222660433,122584.72534325346,NaN,NaN,10000.0,10000.0,690760.2412578806,2.159943535361297e6,intermediate
Tumor,0.5,7.936674288796335e-7,1693.6342761714225,2039.847469062381,2044.9601444343987,3.310897169346423,602.2479873844045,214428.39804650386,602.6949681412308,124649.84419794507,NaN,NaN,10000.0,10000.0,624419.5026630856,1.922644732386176e6,intermediate
Tumor,0.5,8.33229088333924e-7,1560.2386337873656,1819.6695432385068,1821.7780245087172,3.2607337840687767,591.0888954269095,215904.42514879862,548.3533114382761,126408.13554949765,NaN,NaN,10000.0,10000.0,565618.7165715803,1.7223310277216656e6,intermediate
Tumor,0.5,8.747627638264501e-7,1434.0160816502553,1629.916715568934,1630.8285544827768,3.2126745283434928,581.5414268707516,217183.50843710912,499.9307262670597,127952.3481659006,NaN,NaN,10000.0,10000.0,512864.20431066793,1.5483951749912943e6,intermediate
Tumor,0.5,9.183667537427913e-7,1314.8204451882334,1463.4448032572054,1463.852378158052,3.165793860470539,573.1926093934942,218314.49149635874,456.06545972046,129333.94212856903,NaN,NaN,10000.0,10000.0,465122.6781910472,1.3946505853960046e6,intermediate
Tumor,0.5,9.641442563133607e-7,1202.4928842432892,1315.5367232980059,1315.7232756264752,3.119494512626075,565.7861534924945,219327.72491367272,415.9168822888939,130584.80948668096,NaN,NaN,10000.0,10000.0,421648.723935887,1.257125280076446e6,intermediate
Tumor,0.5,1.0122036138542432e-6,1096.863458093042,1182.9234128742814,1183.0102986515396,3.0733554799444036,559.150508101463,220243.53192783103,378.9270555554194,131726.22710759717,NaN,NaN,10000.0,10000.0,381885.8952504313,1.133094098042466e6,intermediate
Tumor,0.5,1.0626585691826105e-6,997.7525095248159,1063.2466936652095,1063.287695055026,3.0270590410098306,553.1643788671829,221076.28470660033,344.70561112038536,132773.17590841147,NaN,NaN,10000.0,10000.0,345406.6495418151,1.0205928568503988e6,intermediate
Tumor,0.5,1.1156285348135952e-6,904.9719819883953,954.7467373646298,954.7662752494821,2.9803517021301036,547.7383077729658,221836.58644974174,312.9678498137704,133736.6570015959,NaN,NaN,10000.0,10000.0,311874.113218707,918150.0279180938,controlled
Tumor,0.5,1.1712388755757056e-6,818.3265796182666,856.0710513523038,856.0804340765827,2.9330215808922033,542.8040165832634,222532.53537121817,283.498670874505,134625.0362323032,NaN,NaN,10000.0,10000.0,281016.7696472348,824627.5324967979,controlled
Tumor,0.5,1.229621205313694e-6,737.6148165450679,766.1527552934235,766.1572248106897,2.884884379425147,538.3078562678771,223170.50158508532,256.1302667423059,135444.87170330674,NaN,NaN,10000.0,10000.0,252611.13896056224,739120.8663413727,controlled
Tumor,0.5,1.2909136983810517e-6,662.6299366501025,684.130172986099,684.1323604545597,2.8357744807801346,534.2066123487805,223755.63344277142,230.72751717994433,136201.4575934231,NaN,NaN,10000.0,10000.0,226469.5843245083,660893.5664008461,controlled
Tumor,0.5,1.3552614166593774e-6,593.160709732866,609.2920273477137,609.2930910511693,2.785538453464152,530.4646553024653,224292.1898244,207.1783237760685,136899.17639265224,NaN,NaN,10000.0,10000.0,202431.51904651528,589332.5978652232,controlled
Tumor,0.5,1.4228166528785383e-6,528.9921302824241,541.0390716925097,541.0395959757327,2.7340310128956857,527.0519799438216,224783.77855347184,185.3865789963861,137541.75829435253,NaN,NaN,10000.0,10000.0,180356.93318301893,523917.05627669516,controlled
Tumor,0.5,1.4937392910502137e-6,469.90600037258355,478.85661058151754,478.8568611564118,2.681111708874218,523.9428417037984,225233.52309891646,165.26735080041885,138132.4599793518,NaN,NaN,10000.0,10000.0,160121.54572483542,464195.64469079644,controlled
Tumor,0.5,1.568197184867829e-6,415.6814558255635,422.29438973831276,422.29449493555194,2.6266426203883526,521.1147205698202,225644.1836414122,146.7432583584119,138674.19498910516,NaN,NaN,10000.0,10000.0,141613.12437272663,409770.1354045799,controlled
Tumor,0.5,1.646366554968472e-6,366.0954069703838,370.9516786316457,370.9517327802402,2.570486586260273,518.5475840625234,226018.24798649733,129.74183280685452,139169.63203738822,NaN,NaN,10000.0,10000.0,124728.66330950819,360283.01571478025,controlled
Tumor,0.5,1.7284324059969565e-6,320.92295610018476,324.46604431715537,324.4660617781439,2.5125057088768044,516.2232972126601,226357.9964544397,114.19359609154803,139621.26281727658,NaN,NaN,10000.0,10000.0,109372.2063128867,315408.16250480205,controlled
Tumor,0.5,1.8145889644591558e-6,279.93778698202846,282.50482435509895,282.5048324676312,2.452560466037177,514.12523909955,226665.55645249502,100.03059503721339,140031.4622165856,NaN,NaN,10000.0,10000.0,95453.16671064225,274843.737523275,controlled
Tumor,0.5,1.9050401384008434e-6,242.91255536280792,244.75863268593042,244.75863405006547,2.3905087845079622,512.2379298336142,226942.9367383199,87.1854061510657,140402.5212730585,NaN,NaN,10000.0,10000.0,82885.0374035713,238306.77141646922,controlled
Tumor,0.5,2.0000000000000003e-6,209.6193155468685,210.9364321562875,210.9364322665647,2.326205619156808,510.5468196373566,227192.05869691278,75.59042170423794,140736.6804186656,NaN,NaN,10000.0,10000.0,71584.415507086,205529.05135990732,controlled
Tumor,1.0,3.000000000000001e-7,5992.164473416788,9.74610950382722e6,9.746112134521265e6,6.988831448437962,487331.1356422071,716.6844619916907,15.76216441990706,205.11613063098739,185.0,200.0,185.0,200.0,1.497782471521694e9,7.686563648758688e9,tumor_dominant
Tumor,1.0,3.14953993832204e-7,5710.76926983028,9.745801117819285e6,9.74580532874792e6,6.988817776715725,487315.825211048,716.7069312196354,15.762657171257153,205.12257248844924,190.0,205.0,190.0,205.0,1.4496373545528996e9,7.638223693191369e9,tumor_dominant
Tumor,1.0,3.306533941028525e-7,5434.987756679525,9.745476084619062e6,9.745483219120966e6,6.988803422567832,487299.7510755285,716.7305227582133,15.763174764169332,205.12933592533855,195.0,210.0,195.0,210.0,1.395670229110793e9,7.584051996808e9,tumor_dominant
Tumor,1.0,3.471353568228903e-7,5165.186498951624,9.745132109519353e6,9.745145041708458e6,6.988788351881846,487282.87511324126,716.7552927857929,15.763718312986388,205.13643714111674,200.0,215.0,200.0,215.0,1.334784916132055e9,7.522951879042593e9,tumor_dominant
Tumor,1.0,3.644388901057883e-7,4901.703490452533,9.744764570544794e6,9.744789994387776e6,6.98877252883512,487265.1572959435,716.7813003051231,15.76428907635063,205.14389308222783,210.0,220.0,210.0,220.0,1.2655794369511209e9,7.453520810940977e9,tumor_dominant
Tumor,1.0,3.8260494648864557e-7,4644.84670537107,9.744362051955068e6,9.744417234930553e6,6.98875591580855,487246.5555939878,716.808607286588,15.764887813267002,205.15172199515035,215.0,230.0,215.0,230.0,1.186228556729359e9,7.373932909517838e9,tumor_dominant
Tumor,1.0,4.0167651985518443e-7,4394.892847293946,9.743890467989298e6,9.744025878990885e6,6.988738473295914,487227.02587592887,716.8372788188657,15.765517405714553,205.15994137907032,225.0,240.0,225.0,240.0,1.0943030184302306e9,7.281758000288669e9,tumor_dominant
