direction,b5,b6,T,M,NK,CTL,B,logT,phase,newton_converged,residual_raw,residual_scaled,max_real_eig,stable
up,0.0001,1.2087597925672268e-5,9.501101982885038e6,475104.1728794484,735.0886834280866,16.16594606675648,210.39264055704223,6.977774025454622,tumor_dominant,true,3.601599019020796e-10,5.098211134239213e-14,-0.09063876613882424,true
up,0.0001,1.2842771494454064e-5,9.485180958746454e6,474309.6309283865,736.3174029776973,16.192902635709057,210.7449322034517,6.977045666581723,tumor_dominant,true,1.5570549294352531e-9,1.1177372745413952e-13,-0.09035711070964056,true
up,0.0001,1.3645124587446851e-5,9.468234449393915e6,473463.9091518997,737.6297907046113,16.221694633903503,211.12121499596472,6.9762690491198605,tumor_dominant,true,1.255102688446641e-9,6.762276594630485e-14,-0.09005825379391807,true
up,0.0001,1.4497604748893104e-5,9.450194156569237e6,472563.59856239625,739.0320399246766,16.252457904320178,211.52326512441635,6.975440777244287,tumor_dominant,true,1.7025740817189217e-9,5.875436374619177e-14,-0.08974115508678274,true
up,0.0001,1.540334367107859e-5,9.430986913987119e6,471605.0471458805,740.5308720126643,16.285339869603558,211.95301026308573,6.974557188296262,tumor_dominant,true,1.709850039333105e-9,8.997152337507334e-14,-0.08940471068186087,true
up,0.0001,1.636566869899467e-5,9.4105342933879e6,470584.3401889817,742.1335913097114,16.320500735757935,212.41254532753544,6.973614327821792,tumor_dominant,true,2.3646862246096134e-10,2.216296345800066e-14,-0.08904774871186524,true
up,0.0001,1.7388115053755714e-5,9.38875217156848e6,469497.2786565801,743.8481471569213,16.358114852017838,212.90415027718498,6.97260792169517,tumor_dominant,true,1.5425030142068863e-9,8.494931484116968e-14,-0.08866902458883497,true
up,0.0001,1.8474438819674896e-5,9.365550253412375e6,468339.3553712943,745.6832041910621,16.398372251781154,213.43031028981426,6.971533344900717,tumor_dominant,true,1.2878444977104664e-9,1.2638503379467433e-13,-0.08826721575832666,true
up,0.0001,1.962863074270905e-5,9.340831545128776e6,467105.72870545683,747.6482222545172,16.441480404229495,213.99373869631015,6.970385586470092,tumor_dominant,true,1.127773430198431e-9,9.163579668774811e-14,-0.0878409158914249,true
up,0.0001,2.0854930890961812e-5,9.314491770933505e6,465791.19344742905,749.7535475360119,16.487666212050705,214.59740313990517,6.9691592099802495,tumor_dominant,true,9.458744898438454e-10,1.428949525212404e-13,-0.0873886284277259,true
up,0.0001,2.215784423110338e-5,9.286418725225652e6,464390.1484451861,752.0105168834885,16.537178297793737,215.24455551747735,6.9678483089047765,tumor_dominant,true,5.020410753786564e-10,3.2043522789149804e-14,-0.0869087593670157,true
