b6,T_up,logT_up,eig_up,res_up,phase_up,T_down,logT_down,eig_down,res_down,phase_down,hysteresis_gap
1.2087597925672268e-5,9.501101982885038e6,6.977774025454622,-0.09063876613882424,5.098211134239213e-14,tumor_dominant,0.00010553807081014729,4.5832183305998694e-5,-0.06119999372277451,1.877821401963283e-9,controlled,6.977728193271315
1.2842771494454064e-5,9.485180958746454e6,6.977045666581723,-0.09035711070964056,1.1177372745413952e-13,tumor_dominant,3.588258839073344e-5,1.5583330551094224e-5,-0.061199997469071336,3.9376700792268554e-9,controlled,6.977030083251171
1.3645124587446851e-5,9.468234449393915e6,6.9762690491198605,-0.09005825379391807,6.762276594630485e-14,tumor_dominant,1.1404792675181637e-5,4.953010282090088e-6,-0.06119999895400771,1.9078742719526034e-9,controlled,6.9762640961095785
1.4497604748893104e-5,9.450194156569237e6,6.975440777244287,-0.08974115508678274,5.875436374619177e-14,tumor_dominant,3.374357521693935e-6,1.4654623791143605e-6,-0.06120000026175868,3.5679087408811824e-9,controlled,6.975439311781908
1.540334367107859e-5,9.430986913987119e6,6.974557188296262,-0.08940471068186087,8.997152337507334e-14,tumor_dominant,9.252349305447481e-7,4.018242388672302e-7,-0.06120000077197195,7.816151913490789e-9,controlled,6.974556786472023
1.636566869899467e-5,9.4105342933879e6,6.973614327821792,-0.08904774871186524,2.216296345800066e-14,tumor_dominant,2.339944393306548e-7,1.0162248192937275e-7,-0.06120000016534358,1.6608320411642205e-9,controlled,6.97361422619931
1.7388115053755714e-5,9.38875217156848e6,6.97260792169517,-0.08866902458883497,8.494931484116968e-14,tumor_dominant,5.430737693795055e-8,2.3585393534602527e-8,-0.06120000085108302,8.511040626188403e-9,controlled,6.972607898109777
1.8474438819674896e-5,9.365550253412375e6,6.971533344900717,-0.08826721575832666,1.2638503379467433e-13,tumor_dominant,1.1504851669704116e-8,4.996493596166265e-9,-0.06120000054388842,5.4441494735804405e-9,controlled,6.971533339904223
1.962863074270905e-5,9.340831545128776e6,6.970385586470092,-0.0878409158914249,9.163579668774811e-14,tumor_dominant,2.212058314298438e-9,9.606847184858368e-10,-0.06120000088385002,8.834740136443491e-9,controlled,6.9703855855094075
2.0854930890961812e-5,9.314491770933505e6,6.9691592099802495,-0.0873886284277259,1.428949525212404e-13,tumor_dominant,3.836847549009381e-10,1.6663221817681464e-10,-0.061200000668752,6.686584957107321e-9,controlled,6.9691592098136175
2.215784423110338e-5,9.286418725225652e6,6.9678483089047765,-0.0869087593670157,3.2043522789149804e-14,tumor_dominant,5.965133828519601e-11,2.5906271657194764e-11,-0.06120000076909028,7.691669725095011e-9,controlled,6.96784830887887
2.354215717792758e-5,9.256491550883383e6,6.9664464559738715,-0.08639960916984923,3.633104010402164e-14,tumor_dominant,8.255888065019584e-12,3.5854659533769763e-12,-0.0612000007145069,7.145106565608907e-9,controlled,6.966446455970286
2.501295517784446e-5,9.224579932553658e6,6.9649466455288245,-0.085859363604943,1.1565197925469473e-13,tumor_dominant,1.0098347474717884e-12,4.3857613178821354e-13,-0.06120000074339726,7.4335891690357655e-9,controlled,6.964946645528386
2.6575641390902075e-5,9.190543191664353e6,6.963341227647233,-0.08528608336858279,5.635321926128235e-14,tumor_dominant,1.000000000000001e-12,4.343330909353833e-13,-0.06120000072774285,7.2773664124715375e-9,controlled,6.963341227646799
2.8235956539969818e-5,9.154229267231554e6,6.961621832553839,-0.0846776922129964,5.279627936350134e-14,tumor_dominant,1.000000000000001e-12,4.343330909353833e-13,-0.061200000735777096,7.355943736254287e-9,controlled,6.961621832553405
3.000000000000001e-5,9.115473563228222e6,6.95977928350403,-0.08403196332352686,7.518703977381169e-14,tumor_dominant,1.000000000000001e-12,4.343330909353833e-13,-0.06120000055718387,5.57494836165062e-9,controlled,6.959779283503596
