b6,tumor0,nk0,T365,Tfinal,logTfinal,final_regime,regime_code
1.5e-6,2.2387211385683394,251.18864315095797,473.7858167248365,473.7786418024248,2.6764911737282473,controlled,0
1.5e-6,3.3496543915782766,251.18864315095797,473.7866019106141,473.7786388735356,2.6764911710491033,controlled,0
1.5e-6,5.011872336272722,251.18864315095797,473.78760449458025,473.7786399857097,2.6764911720664424,controlled,0
1.5e-6,7.498942093324558,251.18864315095797,473.78893329710536,473.7786399551653,2.676491172038503,controlled,0
1.5e-6,11.220184543019636,251.18864315095797,473.7907735664094,473.77864153082487,2.6764911734798065,controlled,0
1.5e-6,16.788040181225607,251.18864315095797,473.79349232787,473.7786414018453,2.676491173361825,controlled,0
1.5e-6,25.118864315095795,251.18864315095797,473.797899576878,473.77864203997296,2.6764911739455397,controlled,0
1.5e-6,37.583740428844415,251.18864315095797,473.80623535158674,473.77864335231413,2.676491175145978,controlled,0
1.5e-6,56.23413251903491,251.18864315095797,473.8276759380249,473.7786458191929,2.6764911774025073,controlled,0
1.5e-6,84.13951416451951,251.18864315095797,473.98947361551444,473.7786543805924,2.67649118523388,controlled,0
1.5e-6,125.89254117941675,251.18864315095797,9.721460688847553e6,9.721460689612055e6,6.9877315690422,tumor_dominant,2
1.5e-6,188.36490894898,251.18864315095797,9.721460689537406e6,9.721460689612145e6,6.987731569042204,tumor_dominant,2
1.5e-6,281.8382931264455,251.18864315095797,9.721460689590124e6,9.721460689612173e6,6.987731569042205,tumor_dominant,2
1.5e-6,421.6965034285823,251.18864315095797,9.72146068960075e6,9.72146068961206e6,6.9877315690422,tumor_dominant,2
1.5e-6,630.957344480193,251.18864315095797,9.721460689608036e6,9.721460689612128e6,6.987731569042203,tumor_dominant,2
1.5e-6,944.0608762859235,251.18864315095797,9.721460689609116e6,9.72146068961216e6,6.987731569042205,tumor_dominant,2
1.5e-6,1412.537544622754,251.18864315095797,9.721460689612849e6,9.721460689612044e6,6.987731569042199,tumor_dominant,2
1.5e-6,2113.489039836648,251.18864315095797,9.72146068960808e6,9.721460689612117e6,6.987731569042203,tumor_dominant,2
1.5e-6,3162.2776601683795,251.18864315095797,9.721460689612174e6,9.721460689612044e6,6.987731569042199,tumor_dominant,2
1.5e-6,4731.512589614803,251.18864315095797,9.721460689608192e6,9.721460689612096e6,6.987731569042202,tumor_dominant,2
