b5,b6,T365,T10000,logT10000,M10000,NK10000,CTL10000,B10000,phase,phase_code
0.00015013107289081726,2.770322538580971e-6,199.19200686416448,199.19200282407954,2.301446724498227,509.9595972910023,227278.69176371724,71.54168559231154,103561.71364494463,controlled,0
0.00015013107289081726,3.000000000000001e-6,153.47245370917094,153.4724584336603,2.1888510584111858,507.6736239296138,227616.57424185186,55.700531202250986,103931.1058377806,controlled,0
0.00017190722018585745,2.0000000000000002e-7,9.749878978893489e6,9.74987902894949e6,6.988999271792303,487519.11370313115,716.4085419578232,15.755980529819395,119.29240176046186,tumor_dominant,2
0.00017190722018585745,2.1658127948788786e-7,9.749681121382851e6,9.749681181287322e6,6.988990458861323,487509.2405815594,716.4230202032784,15.756298184274641,119.29481739002208,tumor_dominant,2
0.00017190722018585745,2.3453725312305292e-7,9.74946685294158e6,9.74946692616388e6,6.988980914874296,487498.5486838402,716.4386997869711,15.75664219621609,119.29743310455302,tumor_dominant,2
0.00017190722018585745,2.5398189184482656e-7,9.749234810787525e6,9.749234902496612e6,6.988970579151547,487486.9700882407,716.4556804801939,15.75701475463166,119.30026597257138,tumor_dominant,2
0.00017190722018585745,2.7503861551253435e-7,9.74898351806136e6,9.748983636222424e6,6.9889593859704915,487474.43123497796,716.4740703557675,15.757418230645245,119.30333425791233,tumor_dominant,2
0.00017190722018585745,2.978410762814096e-7,9.748711373537563e6,9.74871153090691e6,6.988947264145436,487460.85245759314,716.4939864814628,15.757855192731132,119.30665710164659,tumor_dominant,2
0.00017190722018585745,3.225340069253865e-7,9.74841663963187e6,9.748416857570998e6,6.988934136572176,487446.14747526625,716.5155556717976,15.758328423208413,119.31025467663136,tumor_dominant,2
0.00017190722018585745,3.4927413949127666e-7,9.748097427465241e6,9.74809774366954e6,6.988919919734435,487430.22284280317,716.53891530321,15.758840936110694,119.31415469049558,tumor_dominant,2
0.00017190722018585745,3.7823120011525856e-7,9.747751675908973e6,9.747752161149321e6,6.988904523168815,487412.97735473025,716.56421419807,15.759395996628985,119.31837203810625,tumor_dominant,2
0.00017190722018585745,4.095889863160102e-7,9.74737711611751e6,9.7473779135127e6,6.988887848884912,487394.3013996607,716.5916135833812,15.759997142065831,119.32294307205441,tumor_dominant,2
0.00017190722018585745,4.4354653360234233e-7,9.746971195431624e6,9.746972621797968e6,6.988869790736535,487374.07626073447,716.6212881307112,15.760648204726213,119.32789350442327,tumor_dominant,2
0.00017190722018585745,4.803193788000626e-7,9.74653086963766e6,9.746533709390413e6,6.98885023374008,487352.17335759994,716.6534270843083,15.761353336627762,119.3332559025322,tumor_dominant,2
0.00017190722018585745,5.201409281167251e-7,9.746051894787816e6,9.746058385562299e6,6.9888290533353885,487328.4534250183,716.6882354850817,15.762117036367846,119.3390641429313,tumor_dominant,2
0.00017190722018585745,5.63263938627689e-7,9.745525813625813e6,9.74554362763573e6,6.988806114584229,487302.76562272955,716.7259354988141,15.762944178264243,119.34535358347087,tumor_dominant,2
0.00017190722018585745,6.099621225868601e-7,9.744923342919497e6,9.744986161652064e6,6.988781271301015,487274.9465707768,716.7667678577162,15.763840043975764,119.35216390375199,tumor_dominant,2
0.00017190722018585745,6.605318847450488e-7,9.744065340744028e6,9.744382441421198e6,6.988754365109911,487244.81930398307,716.8109934252678,15.764810356828923,119.35954160836964,tumor_dominant,2
0.00017190722018585745,7.152942037031436e-7,9.74097093495772e6,9.743728625812797e6,6.98872522442194,487212.19213872374,716.8588948952579,15.7658613191119,119.3675327103296,tumor_dominant,2
0.00017190722018585745,7.745966692414835e-7,9.68442864116267e6,9.743020554142088e6,6.988693663325206,487176.8574445391,716.9107786368963,15.76699965252855,119.37619403041118,tumor_dominant,2
0.00017190722018585745,8.388156885568838e-7,4.960851372251437e6,9.742253719483169e6,6.988659480380464,487138.5903124961,716.9669766990577,15.76823264224256,119.38556400284979,tumor_dominant,2
0.00017190722018585745,9.083588754108175e-7,9716.820552933706,9.741423239744565e6,6.988622457314257,487097.1471114923,717.027848987835,15.769568184514695,119.39571871533191,tumor_dominant,2
0.00017190722018585745,9.836676373532668e-7,4301.249801581989,9.740523826297568e6,6.988582357599806,487052.2639229156,717.0937856331765,15.771014838753976,119.40671961755639,tumor_dominant,2
0.00017190722018585745,1.0652199774439907e-6,3026.704781075121,3190.5992226849116,3.5040083506284887,659.5299139409191,207158.58300549284,847.4143204791394,74975.03449823147,intermediate,1
0.00017190722018585745,1.1535335282543925e-6,2371.075068570498,2389.1233855363803,3.37842032114665,619.4561415082184,212191.40141753602,681.982080130399,79058.35609587321,intermediate,1
0.00017190722018585745,1.2491688374075696e-6,1932.6240851374278,1936.0409163290399,3.2871387944662684,596.8020265994858,215146.2103304249,576.4662240688522,81569.74011921616,intermediate,1
0.00017190722018585745,1.3527329255106409e-6,1602.6398605474692,1603.4189234080811,3.205317775650199,580.1709338437823,217368.35640812255,492.8238896224028,83517.41541724543,intermediate,1
0.00017190722018585745,1.4648831390624412e-6,1338.7383262171752,1338.9335277840967,3.127083254161361,566.9466732439932,219168.34056586507,422.28092453087373,85133.78598772036,intermediate,1
0.00017190722018585745,1.5863313227918852e-6,1120.4721632832855,1120.5237479564657,3.049808474082388,556.026175394337,220677.38348299847,361.1631188954801,86516.50394660798,intermediate,1
0.00017190722018585745,1.7178483379099004e-6,936.4678972753374,936.4819715647554,2.9719629246928463,546.8240874610107,221965.20093397942,307.54683110251494,87716.99990033334,controlled,0
0.00017190722018585745,1.8602689549533346e-6,779.7093612462791,779.7132726808092,2.892491562742473,538.9856622292024,223074.0938685599,260.28284844964537,88766.18644861194,controlled,0
0.00017190722018585745,2.0144971522769457e-6,645.5048890493822,645.5059939273649,2.8105725556936165,532.2752981646853,224032.24218322602,218.6127979873358,89684.52605484189,controlled,0
0.00017190722018585745,2.1815118538242366e-6,530.5003127328531,530.5006266291153,2.7255037808845395,526.5250289285079,224859.87623140376,181.98952375327386,90486.72633646891,controlled,0
0.00017190722018585745,2.3623731425962365e-6,432.15412148910843,432.1542227072699,2.63664255257902,521.6077086766466,225572.4916550979,149.9826297658871,91184.19697309495,controlled,0
0.00017190722018585745,2.5582289892565713e-6,348.4380994790503,348.4381202469236,2.543370280469004,517.4219056801497,226182.66536447065,122.22505019126356,91786.43705705588,controlled,0
0.00017190722018585745,2.770322538580971e-6,277.6574528133147,277.6574532637409,2.4450706636420865,513.8828714499912,226701.13976600737,98.38150915896887,92301.86347260862,controlled,0
0.00017190722018585745,3.000000000000001e-6,218.3389195387281,218.3389199843689,2.3411157006913355,510.9169455013189,227137.48802477223,78.12999347937102,92738.30270335967,controlled,0
0.00019684194472866114,2.0000000000000002e-7,9.750181224167123e6,9.750181263474435e6,6.989012734188932,487534.19600446074,716.3863946673104,15.755469551165728,104.18110213514039,tumor_dominant,2
0.00019684194472866114,2.1658127948788786e-7,9.750008432633806e6,9.750008478408601e6,6.9890050378953115,487525.5735732709,716.399038048363,15.75574694770366,104.18294401722586,tumor_dominant,2
0.00019684194472866114,2.3453725312305292e-7,9.749821310597498e6,9.749821364828527e6,6.98899670321879,487516.236111035,716.4127304085011,15.756047358887862,104.18493979402241,tumor_dominant,2
0.00019684194472866114,2.5398189184482656e-7,9.749618668673178e6,9.74961873419934e6,6.988987677179616,487506.1243066375,716.4275588464646,15.7563726956659,104.18710212713769,tumor_dominant,2
0.00019684194472866114,2.7503861551253435e-7,9.749399218358396e6,9.749399299343674e6,6.9889779023963925,487495.17392642697,716.4436177047996,15.756725027916787,104.18944322542639,tumor_dominant,2
0.00019684194472866114,2.978410762814096e-7,9.749161563497104e6,9.749161666245414e6,6.988967316719542,487483.3154051935,716.4610091743524,15.75710659770821,104.19197777235111,tumor_dominant,2
0.00019684194472866114,3.225340069253865e-7,9.74890419077004e6,9.748904325170584e6,6.9889558528341125,487470.47340308374,716.4798439495613,15.757519833682542,104.1947182085192,tumor_dominant,2
0.00019684194472866114,3.4927413949127666e-7,9.748625458823213e6,9.748625641049054e6,6.9889434378293425,487456.5663255908,716.5002419388734,15.757967366615768,104.19768998582552,tumor_dominant,2
0.00019684194472866114,3.7823120011525856e-7,9.74832358524671e6,9.748323843053361e6,6.988929992732113,487441.50580353366,716.5223330350134,15.75845204635091,104.20091279868741,tumor_dominant,2
0.00019684194472866114,4.095889863160102e-7,9.747996629498877e6,9.747997013308894e6,6.988915432001292,487425.19612967083,716.5462579502023,15.758976960124702,104.20439920588126,tumor_dominant,2
0.00019684194472866114,4.4354653360234233e-7,9.74764246682584e6,9.747643074662946e6,6.988899662979662,487407.5336483042,716.5721691219067,15.759545452413523,104.20816972025061,tumor_dominant,2
0.00019684194472866114,4.803193788000626e-7,9.747258738747858e6,9.747259777432429e6,6.988882585299784,487388.40609392774,716.6002316952039,15.760161146471727,104.21226069176878,tumor_dominant,2
0.00019684194472866114,5.201409281167251e-7,9.746842733012112e6,9.746844685042724e6,6.988864090239782,487367.6918746355,716.6306245883948,15.760827967773476,104.21668952068181,tumor_dominant,2
0.00019684194472866114,5.63263938627689e-7,9.74639101659908e6,9.746395158469193e6,6.9888440600250075,487345.25929563725,716.6635416490155,15.761550169322621,104.22148411869328,tumor_dominant,2
0.00019684194472866114,6.099621225868601e-7,9.745898039937109e6,9.745908339375984e6,6.9888223670707355,487320.96571783005,716.6991929081671,15.762332359179688,104.2266789280037,tumor_dominant,2
0.00019684194472866114,6.605318847450488e-7,9.745349416190337e6,9.745381131843045e6,6.988798873160877,487294.6566459486,716.7378059417197,15.76317953034683,104.23230349148383,tumor_dominant,2
0.00019684194472866114,7.152942037031436e-7,9.744678443113217e6,9.74481018256443e6,6.9887734285573035,487266.16474033514,716.7796273477372,15.764097093151012,104.23839972454272,tumor_dominant,2
0.00019684194472866114,7.745966692414835e-7,9.743341633525828e6,9.744191859383687e6,6.988745871033591,487235.30874586117,716.8249243503932,15.765090910478937,104.2449968368174,tumor_dominant,2
0.00019684194472866114,8.388156885568838e-7,9.732527762102094e6,9.743522228032488e6,6.988716024826929,487201.89233098004,716.873986541482,15.766167335922693,104.25214549357264,tumor_dominant,2
0.00019684194472866114,9.083588754108175e-7,9.274720538142908e6,9.74279702691096e6,6.98868369950073,487165.7028292626,716.9271277718394,15.767333255325296,104.25989125069823,tumor_dominant,2
0.00019684194472866114,9.836676373532668e-7,41963.19446208475,9.742011639749715e6,6.988648688710397,487126.5098751163,716.9846882059906,15.768596131851163,104.26827875154369,tumor_dominant,2
