run_id,replicate,git_sha,source_fingerprint,julia_version,solver,noise_mode,gompertz_mode,dt_initial,dtmax,adaptive,initial_attractor,final_attractor,switched,valid,seed,b6,noise_scale,noise_horizon,relax_horizon,noise_retcode,relaxation_retcode,noise_reached_horizon,relaxation_reached_horizon,min_state_saved,T_min_noise,T_max_noise,low_distance,high_distance,nearest_distance,noise_solver_rejections,relaxation_solver_rejections,noise_end_T,noise_end_M,noise_end_NK,noise_end_CTL,noise_end_B,relax_end_T,relax_end_M,relax_end_NK,relax_end_CTL,relax_end_B
1097,97,7f3bcef5a08e3ee69ec959154bc064e98543e76d,5fccb18775a1c53c589e1a644bcdca5c2966e2c9f1b72779e18c5571bee51811,1.12.5,SOSRI,paper_common,continuation,0.01,0.05,true,low,high,true,true,31260902,1.5e-6,0.3,60.0,1500.0,Success,Success,true,true,29.40249765929422,168.09299903113177,410380.75781600067,2.9208708370922274,2.791891182666653e-11,2.791891182666653e-11,6,0,386879.91180443804,9564.046880168335,27966.20495540695,1139.5325691539995,9553.172534344854,9.721460689611796e6,486100.95941680716,718.4943420980871,15.80187405386703,205.63500455506642
1098,98,7f3bcef5a08e3ee69ec959154bc064e98543e76d,5fccb18775a1c53c589e1a644bcdca5c2966e2c9f1b72779e18c5571bee51811,1.12.5,SOSRI,paper_common,continuation,0.01,0.05,true,low,high,true,true,31260903,1.5e-6,0.3,60.0,1500.0,Success,Success,true,true,61.43646613900046,213.77278198482844,64117.1313651464,2.9208708370921785,2.47945656898488e-11,2.47945656898488e-11,10,0,61900.982904740245,3610.380096450833,160737.99673246418,3165.2157546207254,57197.530851891235,9.721460689611796e6,486100.9594168072,718.494342098087,15.801874054109234,205.63500455405355
1099,99,7f3bcef5a08e3ee69ec959154bc064e98543e76d,5fccb18775a1c53c589e1a644bcdca5c2966e2c9f1b72779e18c5571bee51811,1.12.5,SOSRI,paper_common,continuation,0.01,0.05,true,low,high,true,true,31260904,1.5e-6,0.3,60.0,1500.0,Success,Success,true,true,45.45622893557844,267.83819836200206,1.2637712057623535e6,2.92087083709226,1.895926257071283e-11,1.895926257071283e-11,4,0,1.2637712057623535e6,36775.08267962792,9765.950908226183,389.66737262128436,2574.8873084751945,9.721460689611796e6,486100.9594168072,718.494342098087,15.80187405455113,205.63500455179
1100,100,7f3bcef5a08e3ee69ec959154bc064e98543e76d,5fccb18775a1c53c589e1a644bcdca5c2966e2c9f1b72779e18c5571bee51811,1.12.5,SOSRI,paper_common,continuation,0.01,0.05,true,low,high,true,true,31260905,1.5e-6,0.3,60.0,1500.0,Success,Success,true,true,55.926929405527545,267.959641758748,492974.1019887252,2.920870837092126,8.211093780739587e-11,8.211093780739587e-11,2,0,492974.1019887252,12225.416662138907,23024.226261872624,886.8861524453606,8069.832979103863,9.721460689611802e6,486100.9594168072,718.4943420980868,15.801874049723411,205.63500457467347
1101,1,7f3bcef5a08e3ee69ec959154bc064e98543e76d,5fccb18775a1c53c589e1a644bcdca5c2966e2c9f1b72779e18c5571bee51811,1.12.5,SOSRI,paper_common,continuation,0.01,0.05,true,high,high,false,true,32260806,1.5e-6,0.3,60.0,1500.0,Success,Success,true,true,10.490835835178068,1.3752744197824844e6,1.3571393000867967e7,2.920870837092289,6.34720756545444e-11,6.34720756545444e-11,469,0,4.800722724066411e6,175687.86663515537,2079.06368932671,61.89810574014611,604.6977167746669,9.7214606896118e6,486100.9594168072,718.4943420980876,15.801874051140876,205.63500456765263
1102,2,7f3bcef5a08e3ee69ec959154bc064e98543e76d,5fccb18775a1c53c589e1a644bcdca5c2966e2c9f1b72779e18c5571bee51811,1.12.5,SOSRI,paper_common,continuation,0.01,0.05,true,high,high,false,true,32260807,1.5e-6,0.3,60.0,1500.0,Success,Success,true,true,12.381978904686214,1.3973132025922956e6,1.4832112868961304e7,2.9208708370922967,1.8435877740944075e-11,1.8435877740944075e-11,603,0,7.033079475157294e6,321284.3478109728,1124.9602193925564,27.743714451100853,310.18508422014503,9.721460689611796e6,486100.9594168072,718.4943420980875,15.801874054589007,205.6350045515231
1103,3,7f3bcef5a08e3ee69ec959154bc064e98543e76d,5fccb18775a1c53c589e1a644bcdca5c2966e2c9f1b72779e18c5571bee51811,1.12.5,SOSRI,paper_common,continuation,0.01,0.05,true,high,high,false,true,32260808,1.5e-6,0.3,60.0,1500.0,Success,Success,true,true,6.705478320622044,1.4963857583916625e6,1.9079450258233607e7,2.9208708370923406,2.7463862444099824e-11,2.7463862444099824e-11,560,0,8.678224743042102e6,359397.4740798785,918.9451801178197,24.011130666389512,269.73957695778756,9.721460689611796e6,486100.95941680716,718.494342098087,15.801874053895107,205.63500455465828
1104,4,7f3bcef5a08e3ee69ec959154bc064e98543e76d,5fccb18775a1c53c589e1a644bcdca5c2966e2c9f1b72779e18c5571bee51811,1.12.5,SOSRI,paper_common,continuation,0.01,0.05,true,high,high,false,true,32260809,1.5e-6,0.3,60.0,1500.0,Success,Success,true,true,2.7945545576237847,2.999674859850831e6,3.092713306136753e7,2.920870837092065,5.593833055862432e-11,5.593833055862432e-11,945,2,2.5924211483432364e7,1.4179555075898739e6,262.63579546807006,5.317779349290001,74.38324844125844,9.721460689612027e6,486100.9594168217,718.4943420980655,15.80187405173179,205.6350045654589
1105,5,7f3bcef5a08e3ee69ec959154bc064e98543e76d,5fccb18775a1c53c589e1a644bcdca5c2966e2c9f1b72779e18c5571bee51811,1.12.5,SOSRI,paper_common,continuation,0.01,0.05,true,high,high,false,true,32260810,1.5e-6,0.3,60.0,1500.0,Success,Success,true,true,6.866961569431498,1.908481525036259e6,1.936124768112353e7,2.9208708370922483,3.060512484493974e-11,3.060512484493974e-11,643,0,1.908481525036259e6,62129.97033523739,4055.973529644346,128.87048738735203,1264.218986725433,9.721460689611798e6,486100.9594168072,718.4943420980871,15.80187405366006,205.6350045559817
1106,6,7f3bcef5a08e3ee69ec959154bc064e98543e76d,5fccb18775a1c53c589e1a644bcdca5c2966e2c9f1b72779e18c5571bee51811,1.12.5,SOSRI,paper_common,continuation,0.01,0.05,true,high,high,false,true,32260811,1.5e-6,0.3,60.0,1500.0,Success,Success,true,true,1.5418217029272643,1.8793576141382407e6,6.069248673785249e7,2.9208708370922176,9.993229679640457e-11,9.993229679640457e-11,889,0,3.103819879966833e6,96060.46757885779,4893.5645901695525,187.9881927906,1242.8665499022318,9.721460689611806e6,486100.9594168072,718.4943420980866,15.801874048353232,205.63500458085096
1107,7,7f3bcef5a08e3ee69ec959154bc064e98543e76d,5fccb18775a1c53c589e1a644bcdca5c2966e2c9f1b72779e18c5571bee51811,1.12.5,SOSRI,paper_common,continuation,0.01,0.05,true,high,high,false,true,32260812,1.5e-6,0.3,60.0,1500.0,Success,Success,true,true,6.342573975039146,3.2824159203607487e6,2.096272802614229e7,2.9208708370924237,3.7199775611025844e-11,3.7199775611025844e-11,728,0,9.377683477716405e6,467674.0484189109,620.6892041921055,12.854891593005188,193.80595892185707,9.721460689611798e6,486100.9594168072,718.4943420980871,15.801874053144665,205.63500455795992
